"Timestamp","Understanding why some people are less likely to take up the COVID-19 vaccine","Understanding the experience of using the internet for daily activities (e.g. shopping, keeping in contact with friends and family) ","Examining impact of the pandemic on mental health, loneliness and wellbeing","Understanding how experience as a child of the 50s and 60s has helped with coping with the effects of COVID-19 lockdowns, social isolation and mental health issues?","Are there any other aspects of life during the pandemic that you think should be researched?","Please tell us if you are a..."
"2021/04/30 11:17:49 am CET","3","5","1","5","","Member of Aberdeen Children of the 1950s study"
"2021/04/30 11:22:39 am CET","3","4","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/04/30 11:35:54 am CET","5","3","5","3","","Member of the public"
"2021/04/30 11:37:38 am CET","5","3","4","5","","Member of Aberdeen Children of the 1950s study"
"2021/04/30 11:39:02 am CET","5","5","4","4","What positives resulted from the pandemic","Member of Aberdeen Children of the 1950s study"
"2021/04/30 11:40:05 am CET","4","3","5","4","Family cohesion;  changing diets ","Member of Aberdeen Children of the 1950s study"
"2021/04/30 12:05:10 pm CET","3","5","5","5","","Member of the public"
"2021/04/30 12:09:25 pm CET","5","4","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/04/30 12:13:15 pm CET","5","3","5","5","Compare urban and rural dwellers, re; mental health and wellbeing.","Member of Aberdeen Children of the 1950s study"
"2021/04/30 12:27:25 pm CET","3","4","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/04/30 12:37:42 pm CET","3","5","5","5","Social isolation and effects on mental health, especially those living alone. I have found it very difficult, especially this lockdown.","Member of Aberdeen Children of the 1950s study"
"2021/04/30 12:37:51 pm CET","4","4","5","3","How the regular change in levels and restrictions in themselves can be confusing and disrupt routine.","Member of Aberdeen Children of the 1950s study"
"2021/04/30 12:49:11 pm CET","5","3","3","3","","Member of Aberdeen Children of the 1950s study"
"2021/04/30 12:55:19 pm CET","5","3","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/04/30 1:02:03 pm CET","5","4","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/04/30 1:12:04 pm CET","5","5","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/04/30 1:14:32 pm CET","1","5","1","5","All aspects of society have been receiving financial help except folk who worked all their lives and do not qualify for benefits of any kind, the folk who have paid and supported the welfare state. The idle have been regaled with gifts. ","Member of Aberdeen Children of the 1950s study"
"2021/04/30 1:16:05 pm CET","5","4","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/04/30 1:20:20 pm CET","5","3","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/04/30 1:22:55 pm CET","5","3","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/04/30 1:39:12 pm CET","4","3","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/04/30 1:42:34 pm CET","3","5","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/04/30 1:46:02 pm CET","4","4","3","5","","Member of Aberdeen Children of the 1950s study"
"2021/04/30 1:51:54 pm CET","4","4","5","5","Looking forward from lockdown to freedom and the effect this has on our outlook for the future - trepidation or elation?","Member of Aberdeen Children of the 1950s study"
"2021/04/30 2:16:17 pm CET","5","5","5","5","Mental health and isolation","Member of Aberdeen Children of the 1950s study"
"2021/04/30 2:24:45 pm CET","5","2","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/04/30 2:26:40 pm CET","2","4","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/04/30 3:15:16 pm CET","5","5","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/04/30 3:16:18 pm CET","5","2","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/04/30 3:44:25 pm CET","5","3","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/04/30 3:55:21 pm CET","4","4","5","4","Any long term effect on children, toddler etc","Member of Aberdeen Children of the 1950s study"
"2021/04/30 3:56:12 pm CET","4","2","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/04/30 4:12:09 pm CET","4","4","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/04/30 4:54:34 pm CET","4","4","4","5","Missing family ","Member of Aberdeen Children of the 1950s study"
"2021/04/30 5:01:13 pm CET","5","5","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/04/30 5:11:03 pm CET","5","4","4","3","","Member of Aberdeen Children of the 1950s study"
"2021/04/30 5:27:42 pm CET","5","4","5","4","How gardening and walking helped maintain peoples sanity. How not using the internet was a boost to mental health.","Member of Aberdeen Children of the 1950s study"
"2021/04/30 5:42:07 pm CET","4","5","4","1","","Member of Aberdeen Children of the 1950s study"
"2021/04/30 5:48:05 pm CET","3","4","4","5","","Member of Aberdeen Children of the 1950s study"
"2021/04/30 6:15:26 pm CET","5","5","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/04/30 6:19:17 pm CET","3","4","5","3","In my case, furlough followed by redundancy and lack of jobs now forced to accept retirement before I planned to.","Member of Aberdeen Children of the 1950s study;Member of the public"
"2021/04/30 6:19:55 pm CET","4","4","4","1","Hi people have become used to being less sociable and will they return to mixing with others. ","Member of Aberdeen Children of the 1950s study"
"2021/04/30 6:27:30 pm CET","4","3","5","2","Isolation should be included.  You may not be lonely if everyone is contacting you but still feel isolated from all the activities you normally undertook.","Member of Aberdeen Children of the 1950s study"
"2021/04/30 6:42:14 pm CET","3","3","5","5","Disability","Member of Aberdeen Children of the 1950s study"
"2021/04/30 7:13:51 pm CET","4","3","5","4","Effect on children’s health and education","Member of Aberdeen Children of the 1950s study"
"2021/04/30 7:39:15 pm CET","4","5","5","5","","Member of Aberdeen Children of the 1950s study;Researcher or public health professional"
"2021/04/30 8:43:04 pm CET","5","3","5","2","","Member of Aberdeen Children of the 1950s study"
"2021/04/30 8:49:31 pm CET","5","3","3","4","","Member of Aberdeen Children of the 1950s study"
"2021/04/30 9:01:14 pm CET","2","4","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/04/30 9:14:48 pm CET","5","5","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/04/30 9:38:32 pm CET","4","3","5","3","Obesity, physical health through lack of exercise, people sitting in front of a pc all day every day without leaving home and the effects on their health.","Member of Aberdeen Children of the 1950s study"
"2021/04/30 10:02:12 pm CET","5","5","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/04/30 10:41:58 pm CET","2","4","3","2","Understanding impact of pandemic on financial wellbeing and how this impacts mental health.","Member of Aberdeen Children of the 1950s study"
"2021/05/01 12:02:30 am CET","4","3","5","3","Lack of accountability by social media","Member of Aberdeen Children of the 1950s study"
"2021/05/01 7:29:30 am CET","5","5","5","4","","Member of the public"
"2021/05/01 8:14:43 am CET","5","5","5","4","Coping with illness during Covid","Member of Aberdeen Children of the 1950s study"
"2021/05/01 9:06:01 am CET","5","3","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/01 10:16:38 am CET","5","3","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/01 10:20:54 am CET","4","5","5","4","The impact on today's children","Member of the public"
"2021/05/01 10:51:17 am CET","4","3","5","2","","Member of the public"
"2021/05/01 3:32:13 pm CET","5","5","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/01 4:22:05 pm CET","5","5","5","5","Long term effects of lockdown as to whether people will feel able and confident enough to return to former lifestyle.","Member of Aberdeen Children of the 1950s study"
"2021/05/01 5:31:00 pm CET","5","2","4","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/02 7:16:27 am CET","5","5","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/02 5:29:51 pm CET","3","4","5","3","","Member of the public"
"2021/05/03 6:32:56 am CET","5","4","4","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/03 12:25:43 pm CET","3","3","3","4","Nothing of note meantime.","Member of Aberdeen Children of the 1950s study"
"2021/05/04 12:19:36 pm CET","3","4","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:22:01 pm CET","1","4","2","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:22:30 pm CET","5","4","4","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:22:51 pm CET","5","5","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:23:29 pm CET","5","4","5","4","Physical health & fitness","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:24:30 pm CET","1","2","3","3","Alcohol consumption ","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:25:27 pm CET","3","5","5","4","Exercise and weight gain ","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:25:41 pm CET","5","3","4","3","Medical treatment delays","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:25:41 pm CET","4","5","5","2","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:26:19 pm CET","5","3","3","3","Why people became more helpful to their neighbours and also volunteering to help strangers too.","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:27:24 pm CET","4","3","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:27:26 pm CET","5","3","4","2","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:27:35 pm CET","2","2","3","5","Lack of access to essential medical treatment.","Member of the public"
"2021/05/05 2:27:41 pm CET","5","5","5","5"," The children of the 50's are more resilient through past experiences of a life that has been less liberal.","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:27:59 pm CET","3","5","5","5","Try and avoid negativity in the media re vaccines as this has worried many people. 

If reaction to vaccine is very minimal then information should be kept out of the media","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:28:01 pm CET","5","3","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:28:50 pm CET","5","3","5","4","The difference, if any,  of the above topics and how it is effecting people who are living as a single vs couples during the pandemic. ","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:29:00 pm CET","4","3","3","4","Understanding if the pandemic has changed peoples realisation of how their actions impact the wellbeing of others","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:29:15 pm CET","5","4","4","2","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:30:24 pm CET","4","5","4","3","Perhaps levels of fitness and activity ... better / worse. ","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:30:28 pm CET","5","4","5","5","The lack of or limited income coming in to the household. ","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:30:33 pm CET","5","4","5","4","Difference between age groups as to how covid has effected depending on your age and how likely it is to affect them later on .","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:31:00 pm CET","1","5","3","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:31:21 pm CET","5","3","4","4","How have child of the 50s and 60s embraced using the Internet for medical needs, shopping needs and activities other than for daily activities other than social needs (eg. using Amazon & Ebay where as the generation is used to department and appliance stores).","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:32:21 pm CET","5","4","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:32:28 pm CET","4","5","5","5","Caring for a loved one with cancer","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:32:31 pm CET","4","3","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:32:49 pm CET","5","5","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:33:34 pm CET","5","4","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:34:03 pm CET","5","2","4","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:35:20 pm CET","5","3","3","2","Overall effect of being unable to access proper GP visits","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:35:24 pm CET","5","3","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:35:26 pm CET","3","3","4","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:37:57 pm CET","4","4","5","3","","Member of Aberdeen Children of the 1950s study;Member of the public"
"2021/05/05 2:39:06 pm CET","3","3","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:39:31 pm CET","5","4","5","4","No. I think the above questions cover most things.","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:39:56 pm CET","3","3","3","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:40:00 pm CET","5","3","4","2","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:40:30 pm CET","5","4","5","2","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:41:06 pm CET","5","3","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:43:09 pm CET","4","4","4","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:43:37 pm CET","5","4","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:43:41 pm CET","5","4","5","4","I think most of the really important issues have been dealt with here.","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:44:42 pm CET","4","4","4","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:45:19 pm CET","2","5","4","4","The apparent need for people to socialise in licensed premises.","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:48:32 pm CET","3","3","5","4","The incidence of death and / or long COVID in the group and any correlations with already identified health trends?","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:49:12 pm CET","5","5","5","5","The above 4th  question compared with the millennials generation x and y etc","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:49:32 pm CET","5","2","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:50:21 pm CET","5","3","3","2","Research who and by how much and in which way different age groups broke the COVID social dictats.","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:50:22 pm CET","4","4","4","4","How to ensure that objective analysis of any particular risk related to COVID is made available. It seems to me that the media has consistently wheeled on different professors and academics who give their opinion and wildly different opinions rather than an objective view. ","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:50:35 pm CET","3","5","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:51:02 pm CET","3","5","5","4","The knock on effect of coming out of lockdown and facing the world; going out and meeting people once again.  I for one am finding this difficult to go into my local supermarket or to travel into town as it has been so long.","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:51:48 pm CET","4","4","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:52:04 pm CET","4","2","2","2","Attitudes to authority and lack of concern for other people.","Member of Aberdeen Children of the 1950s study;Member of the public"
"2021/05/05 2:53:23 pm CET","1","3","2","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:54:03 pm CET","5","5","5","5","The lack of understanding about the seriousness of the situation,  for
example,  the obsession about going abroad on holiday, or spending time indoors at Christmas. Even now, I know that people who normally appear to be reasonably intelligent,  are breaking the rules, and these are older people who could be vulnerable to severe illness. ","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:54:16 pm CET","3","3","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:54:51 pm CET","5","4","5","4","Getting back to a new normal.","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:54:56 pm CET","1","3","5","3","Specifically looking at how the disconnection from family has affected all age groups in the mix from young children to the elderly. ","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:55:26 pm CET","5","2","4","3","How inability to travel to visit family overseas has adversely affected wellbeing","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:55:35 pm CET","2","3","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:55:59 pm CET","5","4","5","2","Effect of one’s inability due to restrictions to see new grandchildren ","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:57:44 pm CET","3","5","4","3","Post pandemic improvements resulting from changing the way things are done.","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:59:06 pm CET","4","4","5","5","What happens to the homeless ","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:00:01 pm CET","3","4","4","3","not as far as I am aware","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:00:56 pm CET","3","5","5","5","If alcohol played any part in coping.","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:00:58 pm CET","4","5","5","4","Impact of losing a family member to Covid 19","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:01:23 pm CET","4","3","5","4","Family cohesion ","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:03:15 pm CET","5","5","4","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:03:43 pm CET","5","4","5","3","The impact on metal health general health issues by not being seen by a doctor ie at surgery as previous appointment system and similar at hospital clinics .
The closing down of dentists .","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:04:44 pm CET","5","4","4","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:05:18 pm CET","4","4","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:06:35 pm CET","4","2","5","2","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:06:51 pm CET","5","5","5","4","I have been classed as vulnerable since the very beginning and have also had operations during the pandemic. The first one was elective surgery but the subsequent ones were due to an accident. I think my recovery was made more difficult because of extra restrictions I had to live with once home as I live on my own and with no visiting possible it was not easy to work out how some things could be done. People I knew may have been willing to help but they too were living under restrictions and it was not easy to find companies who could do the work I required. There may be companies/charities out there but I didn't know of there existence as I am normally very fit and independent. If one doesn't have willing friends to help it must be very difficult for some people.","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:08:24 pm CET","5","4","5","2","","Member of the public"
"2021/05/05 3:10:53 pm CET","5","5","5","5","compliance of children of the 50's regarding Covid rules?","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:14:51 pm CET","5","3","5","3","Learning deficit ","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:14:54 pm CET","5","5","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:19:09 pm CET","4","3","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:19:30 pm CET","2","2","4","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:19:49 pm CET","5","4","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:20:20 pm CET","4","3","5","5","Locking public toilets so it effected where you went and for how long.","Member of Aberdeen Children of the 1950s study;Member of the public"
"2021/05/05 3:20:52 pm CET","5","5","5","5","1. Greater involvement of GP who should know their patients needs. 2. Understanding of people’s willingness to create or believe false information about about vaccination/COVID 19.   Hope this helps.","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:21:00 pm CET","5","5","5","3","Isolation","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:21:16 pm CET","5","4","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:21:28 pm CET","3","4","5","5","How other illnesses contacted impacted on health and well being and access to services. ","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:21:34 pm CET","5","5","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:23:06 pm CET","5","5","5","5","","Member of Aberdeen Children of the 1950s study;Member of the public"
"2021/05/05 3:23:12 pm CET","5","5","5","5","How it affected our parents if they are still alive. Sadly my dad passed away in jan he was 98. It wasnt covid related.","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:23:17 pm CET","5","5","5","5","","Member of Aberdeen Children of the 1950s study;Member of the public"
"2021/05/05 3:24:32 pm CET","4","3","4","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:24:54 pm CET","4","3","3","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:25:48 pm CET","5","5","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:26:38 pm CET","5","5","5","3","Following medical scientific instructions","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:27:55 pm CET","4","4","5","4","Reduced activity may mean less healthy in future.","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:28:07 pm CET","4","2","5","3","","Member of Aberdeen Children of the 1950s study"
