"Timestamp","Understanding why some people are less likely to take up the COVID-19 vaccine","Understanding the experience of using the internet for daily activities (e.g. shopping, keeping in contact with friends and family) ","Examining impact of the pandemic on mental health, loneliness and wellbeing","Understanding how experience as a child of the 50s and 60s has helped with coping with the effects of COVID-19 lockdowns, social isolation and mental health issues?","Are there any other aspects of life during the pandemic that you think should be researched?","Please tell us if you are a..."
"2021/05/05 7:34:44 pm CET","5","5","5","5","Using alcohol to self medicate with regards to mental health and eating and exercise patterns relating to lockdown","Member of Aberdeen Children of the 1950s study"
"2021/05/05 7:36:50 pm CET","4","5","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 7:38:33 pm CET","4","3","3","3","Familial and social connect/disconnects - friends and family losing or making contact","Member of Aberdeen Children of the 1950s study"
"2021/05/05 7:39:10 pm CET","4","3","4","5","No not really","Member of Aberdeen Children of the 1950s study"
"2021/05/05 7:48:06 pm CET","1","5","3","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 7:48:39 pm CET","5","4","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 8:04:56 pm CET","4","2","2","2","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 8:05:20 pm CET","5","3","4","3","","Member of Aberdeen Children of the 1950s study;Researcher or public health professional"
"2021/05/05 8:10:53 pm CET","5","5","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 8:14:16 pm CET","5","5","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 8:16:58 pm CET","5","5","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 8:17:08 pm CET","4","4","5","5","Why do people breach Government Guidelines +Laws during lockdown ?","Member of Aberdeen Children of the 1950s study"
"2021/05/05 8:22:03 pm CET","5","5","5","4","no.","Member of Aberdeen Children of the 1950s study;Member of the public"
"2021/05/05 8:23:56 pm CET","4","3","4","2","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 8:25:44 pm CET","4","3","5","5","Understanding the effects of fake Covid news on people during the pandemic.","Member of Aberdeen Children of the 1950s study"
"2021/05/05 8:26:36 pm CET","5","3","4","3","changes in behaviours and whether they will be permament. i.e the use of face masks, zoom type meetings with friends,  continuing level of worry / anxiety about multiple issues","Member of Aberdeen Children of the 1950s study"
"2021/05/05 8:29:18 pm CET","2","2","3","1","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 8:32:38 pm CET","5","3","5","4","The effect of lack of access to health services for non covid illnesses and conditions","Member of Aberdeen Children of the 1950s study"
"2021/05/05 8:33:28 pm CET","5","3","4","4","How the Children of the 50s generation growing up as LGBT, when homosexuality was illegal till 1977 in Scotland,  has impacted on our physical, social and mental well-being.","Member of Aberdeen Children of the 1950s study"
"2021/05/05 8:36:04 pm CET","5","4","3","5","Geography we were isolated from Aberdeenshire as an example. ","Member of Aberdeen Children of the 1950s study"
"2021/05/05 8:43:37 pm CET","5","5","5","5","Understanding people that do not wear masks. ","Member of Aberdeen Children of the 1950s study"
"2021/05/05 8:44:00 pm CET","3","4","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 8:52:13 pm CET","5","4","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 8:57:17 pm CET","5","5","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 9:20:45 pm CET","3","4","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 9:22:53 pm CET","4","5","5","3","The way that spoken word art has blossomed ","Member of Aberdeen Children of the 1950s study"
"2021/05/05 9:23:23 pm CET","4","5","5","3","mental wellbeing /resilience ","Member of Aberdeen Children of the 1950s study"
"2021/05/05 9:26:26 pm CET","4","3","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 9:34:34 pm CET","3","4","4","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 9:41:52 pm CET","4","3","4","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 9:47:24 pm CET","4","3","4","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 10:00:14 pm CET","3","5","3","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 10:00:35 pm CET","2","4","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 10:03:03 pm CET","5","5","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 10:04:34 pm CET","2","4","4","4","Underlying health issues of people and how this relates to the impact of covid and the effectiveness of the vaccine.","Member of Aberdeen Children of the 1950s study"
"2021/05/05 10:10:51 pm CET","4","2","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 10:12:32 pm CET","3","4","3","3","having been brought up in a rural environment I have always felt a robust approach to this pandemic but always respecting social distancing and others measures as recommended and this seems to have worked for me. Do rural people have a different attittitude  to this pandemic i terms of being more insular but still supporting neighbours?","Member of Aberdeen Children of the 1950s study"
"2021/05/05 10:21:39 pm CET","1","3","5","4","The fear of getting this.  Total loss of confidence in everything you do,    The effect the isolation has on your memory","Member of Aberdeen Children of the 1950s study"
"2021/05/05 10:40:14 pm CET","5","3","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 10:45:58 pm CET","5","2","4","4","As children of the 50s 60s some may have recall of the typhoid holidays, as I recall them. Dr M Queen? Hygiene with your school milk. Aberdeen isolated and in quarantine? Community solidarity. ","Member of Aberdeen Children of the 1950s study"
"2021/05/06 1:22:21 am CET","5","3","4","3","","Member of Aberdeen Children of the 1950s study;Member of the public"
"2021/05/06 6:12:04 am CET","5","2","3","3","Are people aware of what help is available and how to access it.","Member of Aberdeen Children of the 1950s study"
"2021/05/06 6:22:54 am CET","5","3","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/06 7:12:52 am CET","3","4","5","5","The physical changes which peope have undergone ie fitter, less healthy etc","Member of Aberdeen Children of the 1950s study"
"2021/05/06 7:23:11 am CET","4","3","5","4","Where you live now and your circumstances - still working or retired, with or without dependents or carers, current health status","Member of Aberdeen Children of the 1950s study;Researcher or public health professional"
"2021/05/06 7:48:55 am CET","3","4","5","5","People’s eating habits and nutrition changed during the pandemic","Member of Aberdeen Children of the 1950s study"
"2021/05/06 7:58:11 am CET","5","4","4","5","Does age have any impact on how people coped with lockdown ","Member of Aberdeen Children of the 1950s study"
"2021/05/06 8:12:09 am CET","4","5","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/06 8:24:36 am CET","5","3","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/06 8:37:04 am CET","5","4","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/06 9:25:42 am CET","4","4","4","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/06 9:37:44 am CET","5","4","4","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/06 9:41:27 am CET","3","3","4","3","Why certain people go about their life as though the pandemic does not affect them. They seem to have the mentality that they are immune and ignore the guidelines.","Member of Aberdeen Children of the 1950s study"
"2021/05/06 10:14:20 am CET","5","5","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/06 10:23:53 am CET","5","5","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/06 10:25:30 am CET","5","3","5","2","","Member of Aberdeen Children of the 1950s study"
"2021/05/06 10:33:47 am CET","5","4","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/06 10:52:32 am CET","5","4","4","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/06 11:22:50 am CET","5","3","3","4","People's inability to deal with a change in life style. ","Member of Aberdeen Children of the 1950s study"
"2021/05/06 11:25:08 am CET","4","5","5","5","Are there any of the changes to daily life that will be carried forward after the pandemic","Member of Aberdeen Children of the 1950s study"
"2021/05/06 11:26:53 am CET","5","3","4","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/06 11:52:19 am CET","3","5","3","5","The impact of mental health and well being of of individuals relative to the environment that people live within eg rural , semi urban and city/ town centre.","Member of Aberdeen Children of the 1950s study"
"2021/05/06 11:57:25 am CET","5","5","5","5","why the Scottish government continues telling us about Independence during the pandemic when we have not solved the Brexit problems. This adds to people's stress.","Member of Aberdeen Children of the 1950s study"
"2021/05/06 12:11:11 pm CET","5","5","5","5","Financial and other help for those in poverty required to self isolate and live","Member of Aberdeen Children of the 1950s study"
"2021/05/06 12:30:39 pm CET","4","5","4","4","Loss of earnings","Member of Aberdeen Children of the 1950s study"
"2021/05/06 12:30:49 pm CET","4","2","4","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/06 1:32:52 pm CET","4","5","4","4","Loss of earnings","Member of Aberdeen Children of the 1950s study"
"2021/05/06 1:36:54 pm CET","5","5","5","5","Effects on people living alone or shielding long term","Member of Aberdeen Children of the 1950s study"
"2021/05/06 1:42:37 pm CET","5","3","4","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/06 1:53:11 pm CET","5","3","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/06 1:57:31 pm CET","4","1","5","3","I think while there is great deal of talk of lasting change as a consequence of the pandemic, the question what has changed fundamentally and remains changed in the longer term might form part of a research question. It sounds as if the pandemic experience has provided space and time for some people to reconnect or rediscover personal priorities, relationships, experience that they had let go of or forgotten in some way - the relationship to nature and the natural world is given as an example. It might be interesting to know what changes are sustained over time and how.","Member of Aberdeen Children of the 1950s study"
"2021/05/06 2:22:43 pm CET","5","2","4","2","","Member of Aberdeen Children of the 1950s study"
"2021/05/06 2:56:47 pm CET","5","4","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/06 3:48:16 pm CET","4","4","5","4","Calling out the misinformation, the lies of the government and the  costly delays that caused the deaths of thousands unnecessarily. They need to be held to account. ","Member of Aberdeen Children of the 1950s study"
"2021/05/06 3:49:16 pm CET","4","3","3","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/06 3:52:05 pm CET","5","1","5","1","no","Member of Aberdeen Children of the 1950s study"
"2021/05/06 4:06:13 pm CET","4","3","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/06 4:51:03 pm CET","5","4","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/06 5:47:32 pm CET","3","5","5","3","Impact on longer term health of those living alone with no family support","Member of Aberdeen Children of the 1950s study"
"2021/05/06 6:06:10 pm CET","5","5","4","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/06 6:11:29 pm CET","5","4","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/06 7:16:40 pm CET","4","2","4","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/06 7:25:38 pm CET","4","2","5","4","How unemployment affects people? ","Member of Aberdeen Children of the 1950s study"
"2021/05/06 8:47:00 pm CET","4","5","4","4","Loss of earnings","Member of Aberdeen Children of the 1950s study"
"2021/05/06 8:51:44 pm CET","3","5","4","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/06 8:56:33 pm CET","5","3","5","2","The long term effects of Lockdown, Isolation and Lack of Contact need researched.","Member of Aberdeen Children of the 1950s study"
"2021/05/06 9:38:06 pm CET","5","3","5","4","Experience of shielding","Member of Aberdeen Children of the 1950s study"
"2021/05/06 9:46:13 pm CET","4","5","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/06 10:51:55 pm CET","2","3","5","4","Understanding why some didn't self isolate when they ought to have done","Member of Aberdeen Children of the 1950s study"
"2021/05/06 11:09:33 pm CET","5","3","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/07 12:11:04 am CET","3","4","5","3","Effect on education of children ,teenagers and college students","Member of Aberdeen Children of the 1950s study"
"2021/05/07 8:55:26 am CET","1","3","3","5","Why people appear not to take responsibility for themselves, their actions and rely on others to take the responsibility.","Member of Aberdeen Children of the 1950s study;Member of the public"
"2021/05/07 9:40:31 am CET","5","3","5","3","Being disabled has limited me throughout my life due to lack of facilities, I would like to see people in the position to change these things become more understanding as they see how in some instances life during the pandemic hasn’t really been very different from how things were before.","Member of Aberdeen Children of the 1950s study;Member of the public"
"2021/05/07 9:44:08 am CET","4","2","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/07 9:56:55 am CET","3","5","4","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/07 10:18:49 am CET","5","5","5","5","Why people who openly flouted the rules were not thrown in a special jail along with others of the same ilk, who are /were at the end of the day potential murderers ","Member of Aberdeen Children of the 1950s study"
"2021/05/07 12:12:11 pm CET","4","5","4","4","How people living alone have fared to couples / families","Member of Aberdeen Children of the 1950s study"
"2021/05/07 1:25:07 pm CET","4","5","5","4","long term effects on family of isolation ","Member of Aberdeen Children of the 1950s study"
"2021/05/07 3:18:06 pm CET","5","5","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/07 4:28:44 pm CET","4","4","3","4","Recollections and lessons learned from the Aberdeen typhoid epidemic ","Member of Aberdeen Children of the 1950s study;Member of the public"
"2021/05/07 4:37:17 pm CET","5","3","4","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/07 5:23:56 pm CET","5","4","5","5","Diet and exercise ","Member of Aberdeen Children of the 1950s study"
"2021/05/07 6:31:43 pm CET","5","5","5","3","If physical activity was increased or not and is this something that is likely to continue or not. ","Member of Aberdeen Children of the 1950s study"
"2021/05/07 8:29:36 pm CET","5","4","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/07 9:04:06 pm CET","5","5","5","4","Effects of isolation on people who live on their own;  people with disability.
 Has  the pandemic brought neighbourhoods closer together ?
Has the loss of loved ones been especially traumatic.
Have people become more resourceful in adapting to the policy of lockdown and restrictions.","Member of Aberdeen Children of the 1950s study"
"2021/05/07 10:20:22 pm CET","4","3","4","3","The effects of effects of COVID-19 lockdown and social isolation has had on pre-school children and babies.","Member of Aberdeen Children of the 1950s study"
"2021/05/08 10:47:55 am CET","5","5","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/08 11:15:38 am CET","5","4","4","5","Exercise and effect on Physical wellbeing","Member of Aberdeen Children of the 1950s study"
"2021/05/08 12:29:12 pm CET","5","4","5","4","Importance of face to face contact","Member of Aberdeen Children of the 1950s study"
"2021/05/08 12:38:37 pm CET","4","4","3","2","Highly important: understanding how different approaches to dealing with a pandemic (ie lockdowns, masks, etc) performed, so that we are better prepared for the next one.","Member of Aberdeen Children of the 1950s study;Member of the public"
"2021/05/08 1:37:14 pm CET","4","4","4","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/08 3:14:46 pm CET","4","4","4","5","financial impact.","Member of Aberdeen Children of the 1950s study"
"2021/05/08 3:34:57 pm CET","5","3","5","4","Drinking, exercise opportunities, increase in domestic violence, ","Member of Aberdeen Children of the 1950s study"
"2021/05/08 6:32:51 pm CET","4","3","5","4","I recalled with some clarity,  the Typhoid outbreak in Aberdeen , and to a degree remembered the impact. 
In some ways it helped , as some of the restrictions were not entirely new. 
I also wander how many of us may reavalue our lives.
","Member of Aberdeen Children of the 1950s study"
"2021/05/08 6:57:07 pm CET","3","3","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/08 8:57:48 pm CET","2","3","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/09 8:42:39 am CET","5","5","5","5","Understanding how different genders have coped during lockdown","Member of Aberdeen Children of the 1950s study"
"2021/05/09 11:33:28 am CET","5","4","4","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/09 11:42:52 am CET","5","5","5","3","The fact that the NHS availability for other illnesses did not seem to exist. There was no continuity with GPs. The worry about side effects of vaccines and it's contents .



","Member of Aberdeen Children of the 1950s study"
"2021/05/09 11:54:49 am CET","3","4","5","5","Health Conditions ","Member of Aberdeen Children of the 1950s study"
"2021/05/09 2:30:45 pm CET","3","4","5","3","Mental health, and loneliness are huge issues that have been brought more into focus because of the pandemic. I think we need to understand why they dont get much consideration until a family member becomes affected. Mental health is talked about more openly than it has been in the past but it is still difficult to access any meaningful treatment unless the condition becomes acute or life threatening. What are the main causes of loneliness how does it affect people and what can be done to avoid it. These are very important issues which I am sure are widespread but seem almost invisible unless you are caught up in them.  Perhaps if we gave  these matters more consideration at an early age as part of our education maybe some of the pitfalls could be avoided. I believe at times we have transitioned into a digital society where texting and social media has replaced the need for human contact and meaningful relationships. Is there trouble ahead?  ","Member of Aberdeen Children of the 1950s study"
"2021/05/09 2:51:49 pm CET","4","4","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/09 4:23:57 pm CET","5","3","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/09 5:07:31 pm CET","5","3","5","3","Learning deficit ","Member of Aberdeen Children of the 1950s study"
"2021/05/09 5:23:18 pm CET","3","4","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/09 5:50:24 pm CET","5","4","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/09 6:06:01 pm CET","5","5","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/09 6:29:44 pm CET","5","4","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/09 7:51:32 pm CET","5","3","5","4","Life following rules and guidance with the impact that restrictions cause.  Looking at how people either don’t appreciate the potential consequences of not taking even the simplest of rules such as keeping distance form other people and invading other peoples space ","Member of Aberdeen Children of the 1950s study"
"2021/05/10 12:34:02 am CET","5","3","5","4","N/A","Member of Aberdeen Children of the 1950s study"
"2021/05/10 7:48:07 am CET","2","3","2","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/10 1:30:14 pm CET","5","4","4","3","The initial resistance by people to wear masks and socially distance or even believe that the virus existed at all.","Member of Aberdeen Children of the 1950s study"
"2021/05/10 2:59:50 pm CET","5","3","4","1","","Member of Aberdeen Children of the 1950s study"
"2021/05/10 7:57:14 pm CET","1","3","5","3","How the experience of the Pandemic has changed the way you will live and behave going forward e.g shopping, travelling, the way we greet each other, eating and drinking at home.","Member of Aberdeen Children of the 1950s study"
"2021/05/11 8:58:04 am CET","2","5","4","3","Access (or lack of it!) to fresh food (fruit, vegetables, fish, meat) rather than relying on  stored tins & dried foods. Has this affected health and the ability to fight off Covid. ","Member of Aberdeen Children of the 1950s study"
"2021/05/11 11:59:50 am CET","3","4","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/11 2:36:04 pm CET","5","5","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/11 4:49:04 pm CET","3","4","5","4","Perception of risk from Covid compared to other risks","Member of Aberdeen Children of the 1950s study"
"2021/05/11 5:02:55 pm CET","4","4","5","5","Why some individuals refuse to consider others. Society seems to be less considerate these days.","Member of Aberdeen Children of the 1950s study;Member of the public"
"2021/05/11 6:15:54 pm CET","5","4","3","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/11 6:55:52 pm CET","4","4","4","4","Poor access to GP. ","Member of Aberdeen Children of the 1950s study"
"2021/05/12 7:18:13 am CET","5","5","5","5","affect of people not going out does this affect them from going out when restrictions are lifted","Member of Aberdeen Children of the 1950s study"
"2021/05/12 7:31:34 am CET","5","5","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/12 12:09:59 pm CET","5","4","5","5","Dealing with the loss of close relatives to Covid.","Member of Aberdeen Children of the 1950s study"
"2021/05/12 12:59:53 pm CET","5","4","5","4","The impact of spending 24 hours a day, for many months, with your partner","Member of Aberdeen Children of the 1950s study"
"2021/05/12 1:53:20 pm CET","5","4","5","4","How people kept themselves amused and therefore helped their mental wellbeing. ","Member of Aberdeen Children of the 1950s study"
"2021/05/12 4:52:42 pm CET","4","4","5","5","Just keep up the good work, guys. :o))","Member of Aberdeen Children of the 1950s study"
"2021/05/14 12:22:47 pm CET","5","5","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/14 3:32:11 pm CET","3","4","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/16 10:56:05 am CET","5","5","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/17 11:13:57 am CET","5","4","5","3","","Member of Aberdeen Children of the 1950s study"